id,gender,occasion,weather,color,style
710,female,formal,cool,dark,shirt & trousers
711,male,casual,warm,light,shirt & shorts
712,female,party,cool,bright,gown
713,female,formal,warm,light,blazer & skirt
714,female,wedding,cold,neutral,lehenga
715,male,sport,warm,dark,track suit
716,male,formal,cool,light,shirt & trousers
717,female,wedding,warm,neutral,saree
718,male,wedding,warm,bright,sherwani
719,male,sport,cold,dark,track suit
720,female,formal,hot,neutral,shirt & trousers
721,female,formal,cool,neutral,shirt & trousers
722,female,sport,warm,light,track suit
723,male,wedding,hot,bright,kurta & churidar
724,female,wedding,hot,dark,saree
725,female,formal,cold,neutral,formal dress
726,female,wedding,cold,bright,lehenga
727,male,formal,cool,neutral,shirt & trousers
728,male,sport,cold,dark,t-shirt & joggers
729,male,party,cool,bright,shirt & jeans
730,male,party,cold,bright,jacket & pants
731,female,formal,cool,bright,formal dress
732,male,wedding,hot,bright,kurta & churidar
733,female,sport,cool,bright,track suit
734,male,party,hot,light,shirt & jeans
735,male,formal,warm,dark,suit
736,female,casual,cool,light,kurti & leggings
737,male,wedding,hot,light,sherwani
738,male,wedding,cool,dark,formal suit
739,male,formal,cool,dark,suit
740,male,wedding,warm,bright,kurta & churidar
741,male,formal,hot,bright,blazer & pants
742,male,casual,cool,light,shirt & shorts
743,male,wedding,hot,bright,kurta & churidar
744,male,wedding,cool,bright,formal suit
745,male,casual,cold,light,shirt & shorts
746,male,formal,hot,dark,suit
747,female,formal,cold,neutral,formal dress
748,female,party,warm,light,party dress
749,female,party,hot,dark,top & jeans
750,male,sport,cool,neutral,track suit
751,male,formal,cool,neutral,shirt & trousers
752,female,party,cool,bright,gown
753,male,sport,cold,bright,track suit
754,male,party,warm,light,shirt & jeans
755,male,party,cold,neutral,jacket & pants
756,female,wedding,warm,light,gown
757,male,sport,warm,dark,t-shirt & joggers
758,female,sport,cold,dark,t-shirt & shorts
759,female,party,cool,neutral,gown
760,female,sport,warm,dark,sports bra & leggings
761,female,sport,cool,light,sports bra & leggings
762,male,sport,cold,light,jersey & shorts
763,male,casual,cool,bright,shirt & shorts
764,female,casual,warm,light,t-shirt & jeans
765,female,casual,cold,bright,kurti & leggings
766,male,formal,hot,light,suit
767,male,formal,cool,dark,shirt & trousers
768,male,casual,cold,light,shirt & shorts
769,male,formal,warm,light,shirt & trousers
770,female,formal,cool,neutral,shirt & trousers
771,male,casual,hot,bright,polo & chinos
772,female,wedding,hot,dark,saree
773,female,wedding,warm,neutral,lehenga
774,female,party,hot,dark,party dress
775,male,party,hot,bright,shirt & jeans
776,female,sport,hot,neutral,sports bra & leggings
777,female,formal,cool,dark,formal dress
778,male,sport,cool,light,jersey & shorts
779,male,wedding,cool,neutral,formal suit
780,female,formal,warm,dark,blazer & skirt
781,female,party,cool,neutral,gown
782,female,party,hot,neutral,top & jeans
783,male,party,hot,bright,jacket & pants
784,female,formal,warm,dark,blazer & skirt
785,female,wedding,hot,dark,saree
786,male,sport,cool,bright,jersey & shorts
787,female,sport,warm,neutral,sports bra & leggings
788,male,party,cold,bright,shirt & jeans
789,male,formal,cold,light,shirt & trousers
790,female,formal,cold,dark,formal dress
791,male,wedding,warm,bright,sherwani
792,male,wedding,cool,neutral,sherwani
793,male,sport,warm,light,jersey & shorts
794,male,formal,hot,neutral,blazer & pants
795,male,casual,cold,bright,polo & chinos
796,female,casual,cool,light,t-shirt & jeans
797,male,party,cool,dark,jacket & pants
798,male,casual,cool,bright,t-shirt & jeans
799,female,casual,cool,light,kurti & leggings
800,female,casual,warm,dark,top & skirt
801,male,sport,cold,neutral,track suit
802,female,sport,cold,dark,t-shirt & shorts
803,male,formal,warm,neutral,suit
804,male,formal,warm,neutral,shirt & trousers
805,female,wedding,cool,bright,gown
806,male,casual,hot,light,polo & chinos
807,female,casual,hot,dark,top & skirt
808,male,party,hot,neutral,printed shirt & chinos
809,female,party,hot,neutral,gown
810,female,wedding,cool,dark,saree
811,male,casual,hot,light,shirt & shorts
812,male,wedding,warm,dark,formal suit
813,male,casual,cool,dark,t-shirt & jeans
814,female,sport,hot,dark,sports bra & leggings
815,male,casual,cold,light,polo & chinos
816,male,formal,warm,light,suit
817,female,formal,warm,dark,shirt & trousers
818,male,party,warm,light,printed shirt & chinos
819,male,formal,cold,bright,blazer & pants
820,female,wedding,warm,neutral,gown
821,female,formal,cold,light,shirt & trousers
822,female,formal,cold,neutral,formal dress
823,male,party,cold,light,jacket & pants
824,female,party,hot,neutral,gown
825,female,party,hot,dark,top & jeans
826,female,casual,warm,neutral,t-shirt & jeans
827,female,formal,hot,neutral,formal dress
828,male,party,hot,bright,shirt & jeans
829,female,casual,cool,dark,top & skirt
830,female,formal,cold,neutral,formal dress
831,male,sport,cold,dark,t-shirt & joggers
832,male,sport,hot,dark,jersey & shorts
833,female,formal,cold,bright,blazer & skirt
834,female,casual,warm,bright,t-shirt & jeans
835,female,wedding,hot,bright,lehenga
836,male,party,warm,light,printed shirt & chinos
837,female,sport,warm,dark,sports bra & leggings
838,female,party,warm,bright,gown
839,female,party,cold,bright,top & jeans
840,female,wedding,cold,neutral,gown
841,female,party,cool,light,party dress
842,female,formal,warm,light,blazer & skirt
843,male,sport,cool,neutral,jersey & shorts
844,male,sport,cool,bright,t-shirt & joggers
845,male,sport,cold,light,jersey & shorts
846,female,wedding,cold,bright,saree
847,male,formal,warm,light,suit
848,male,sport,hot,bright,jersey & shorts
849,female,casual,cold,bright,top & skirt
850,male,party,hot,dark,printed shirt & chinos
851,female,wedding,hot,neutral,gown
852,male,formal,hot,dark,blazer & pants
853,female,formal,hot,bright,blazer & skirt
854,male,formal,warm,bright,suit
855,male,sport,warm,neutral,t-shirt & joggers
856,male,sport,hot,light,jersey & shorts
857,male,wedding,warm,bright,sherwani
858,female,sport,warm,light,track suit
859,male,wedding,hot,neutral,kurta & churidar
860,female,sport,cool,dark,sports bra & leggings
861,female,formal,hot,light,shirt & trousers
862,male,wedding,warm,dark,kurta & churidar
863,female,formal,cold,light,shirt & trousers
864,female,casual,cool,light,kurti & leggings
865,male,formal,cool,dark,suit
866,male,party,warm,dark,printed shirt & chinos
867,male,casual,hot,dark,polo & chinos
868,male,formal,cool,light,shirt & trousers
869,female,casual,hot,light,t-shirt & jeans
870,female,party,warm,dark,top & jeans
871,male,party,cool,dark,printed shirt & chinos
872,male,wedding,hot,dark,formal suit
873,female,sport,warm,light,sports bra & leggings
874,male,casual,cold,dark,shirt & shorts
875,male,sport,warm,dark,jersey & shorts
876,male,sport,cold,neutral,track suit
877,male,sport,warm,bright,t-shirt & joggers
878,female,wedding,cold,bright,gown
879,female,sport,cool,bright,t-shirt & shorts
880,male,casual,hot,neutral,t-shirt & jeans
881,female,casual,hot,light,t-shirt & jeans
882,male,party,cool,bright,printed shirt & chinos
883,male,casual,cool,dark,shirt & shorts
884,female,party,hot,neutral,gown
885,male,party,cool,bright,jacket & pants
886,male,party,cold,bright,printed shirt & chinos
887,male,casual,hot,bright,t-shirt & jeans
888,female,party,hot,neutral,party dress
889,male,sport,warm,dark,t-shirt & joggers
890,female,sport,warm,light,t-shirt & shorts
891,female,party,warm,light,top & jeans
892,male,party,hot,neutral,shirt & jeans
893,female,party,hot,dark,party dress
894,male,wedding,warm,bright,sherwani
895,female,formal,warm,bright,blazer & skirt
896,male,sport,cold,bright,jersey & shorts
897,male,formal,warm,bright,suit
898,male,wedding,cool,light,kurta & churidar
899,female,wedding,cold,light,lehenga
900,female,casual,cool,bright,t-shirt & jeans
901,male,casual,cold,bright,polo & chinos
902,male,formal,hot,light,suit
903,male,casual,cold,light,shirt & shorts
904,male,party,cool,bright,jacket & pants
905,male,wedding,warm,bright,formal suit
906,male,wedding,cold,bright,formal suit
907,male,party,cold,dark,shirt & jeans
908,female,wedding,warm,dark,saree
909,male,wedding,cool,light,sherwani
910,female,casual,cool,dark,top & skirt
911,female,party,cold,neutral,top & jeans
912,male,party,cool,neutral,jacket & pants
913,female,party,warm,neutral,gown
914,female,formal,hot,neutral,blazer & skirt
915,female,sport,cold,light,sports bra & leggings
916,male,wedding,cool,neutral,kurta & churidar
917,female,formal,cool,dark,formal dress
918,male,casual,cold,neutral,shirt & shorts
919,male,casual,warm,light,polo & chinos
920,male,formal,cool,dark,suit
921,female,sport,cold,bright,track suit
922,male,wedding,hot,bright,sherwani
923,male,formal,warm,light,suit
924,female,casual,hot,light,kurti & leggings
925,female,sport,cold,neutral,sports bra & leggings
926,male,sport,cold,bright,t-shirt & joggers
927,male,casual,hot,neutral,t-shirt & jeans
928,female,casual,cool,neutral,top & skirt
929,female,party,cool,neutral,top & jeans
930,female,casual,cold,neutral,t-shirt & jeans
931,female,formal,cold,light,formal dress
932,female,formal,warm,dark,shirt & trousers
933,male,sport,cold,light,jersey & shorts
934,female,formal,hot,dark,blazer & skirt
935,male,casual,hot,neutral,shirt & shorts
936,female,party,cold,dark,top & jeans
937,male,formal,warm,bright,suit
938,female,casual,cool,light,kurti & leggings
939,male,wedding,hot,light,sherwani
940,female,formal,warm,neutral,formal dress
941,female,sport,hot,neutral,track suit
942,female,party,hot,dark,gown
943,female,formal,cold,light,shirt & trousers
944,female,sport,warm,light,sports bra & leggings
945,female,wedding,cool,neutral,lehenga
946,male,formal,cold,neutral,suit
947,female,formal,cool,light,shirt & trousers
948,male,formal,cool,neutral,shirt & trousers
949,female,wedding,warm,dark,saree
950,male,casual,cool,bright,shirt & shorts
951,male,casual,cool,neutral,polo & chinos
952,female,sport,hot,dark,t-shirt & shorts
953,male,wedding,warm,neutral,formal suit
954,male,wedding,cool,light,kurta & churidar
955,male,wedding,warm,dark,kurta & churidar
956,male,party,warm,light,shirt & jeans
957,female,casual,hot,neutral,kurti & leggings
958,female,sport,warm,neutral,t-shirt & shorts
959,female,casual,cold,dark,t-shirt & jeans
960,female,wedding,hot,light,saree
961,female,casual,hot,neutral,top & skirt
962,female,party,hot,light,party dress
963,female,casual,cool,neutral,t-shirt & jeans
964,female,formal,cool,bright,blazer & skirt
965,female,casual,cold,neutral,kurti & leggings
966,female,casual,cool,neutral,t-shirt & jeans
967,female,formal,cool,light,formal dress
968,female,casual,hot,neutral,top & skirt
969,male,casual,cold,neutral,polo & chinos
970,male,formal,hot,dark,suit
971,male,wedding,hot,bright,sherwani
972,female,party,cool,dark,top & jeans
973,male,party,hot,bright,printed shirt & chinos
974,male,party,hot,light,jacket & pants
975,female,formal,cold,light,shirt & trousers
976,male,wedding,cold,dark,formal suit
977,male,party,cold,light,printed shirt & chinos
978,female,party,hot,dark,party dress
979,male,wedding,warm,dark,kurta & churidar
980,male,wedding,hot,dark,sherwani
981,male,wedding,warm,neutral,formal suit
982,female,casual,cool,bright,t-shirt & jeans
983,male,formal,hot,bright,blazer & pants
984,female,formal,hot,dark,shirt & trousers
985,male,casual,hot,dark,polo & chinos
986,male,formal,warm,dark,shirt & trousers
987,female,formal,warm,light,formal dress
988,female,casual,hot,light,kurti & leggings
989,male,party,hot,bright,jacket & pants
990,female,wedding,cold,light,lehenga
991,male,formal,hot,bright,shirt & trousers
992,female,party,warm,neutral,party dress
993,male,sport,hot,neutral,track suit
994,female,sport,warm,dark,t-shirt & shorts
995,male,party,cold,dark,jacket & pants
996,male,formal,cold,light,blazer & pants
997,male,formal,cold,neutral,suit
998,female,formal,warm,bright,shirt & trousers
999,male,sport,cold,light,jersey & shorts
1000,female,formal,cold,bright,shirt & trousers
